NAMESPACE                           NAME                                               READY   UP-TO-DATE   AVAILABLE   AGE
aso-system                          azureserviceoperator-controller-manager            1/1     1            1           26d
calico-system                       calico-kube-controllers                            1/1     1            1           26d
calico-system                       calico-typha                                       1/1     1            1           26d
capi-kubeadm-bootstrap-system       capi-kubeadm-bootstrap-controller-manager          1/1     1            1           9d
capi-kubeadm-control-plane-system   capi-kubeadm-control-plane-controller-manager      1/1     1            1           9d
capi-operator                       capiop-cluster-api-operator                        1/1     1            1           26d
capi-system                         capi-controller-manager                            1/1     1            1           9d
cert-manager                        cert-manager                                       1/1     1            1           26d
cert-manager                        cert-manager-cainjector                            1/1     1            1           26d
cert-manager                        cert-manager-webhook                               1/1     1            1           26d
istio-system                        istio-ingressgateway                               2/2     2            2           26d
istio-system                        istiod                                             2/2     2            2           26d
kube-system                         ama-metrics                                        2/2     2            2           26d
kube-system                         ama-metrics-ksm                                    1/1     1            1           26d
kube-system                         ama-metrics-operator-targets                       1/1     1            1           26d
kube-system                         azure-wi-webhook-controller-manager                2/2     2            2           26d
kube-system                         coredns                                            2/2     2            2           26d
kube-system                         coredns-autoscaler                                 1/1     1            1           26d
kube-system                         konnectivity-agent                                 2/2     2            2           26d
kube-system                         konnectivity-agent-autoscaler                      1/1     1            1           26d
kube-system                         metrics-server                                     2/2     2            2           26d
kyverno                             kyverno-admission-controller                       1/1     1            1           26d
kyverno                             kyverno-background-controller                      1/1     1            1           26d
kyverno                             kyverno-cleanup-controller                         1/1     1            1           26d
kyverno                             kyverno-reports-controller                         1/1     1            1           26d
opentelemetry                       collector-collector                                1/1     1            1           26d
opentelemetry                       opentelemetry-operator                             1/1     1            1           26d
tetris                              controller                                         1/1     1            1           26d
tetris                              frontend-csharp                                    1/1     1            1           26d
tigera-operator                     tigera-operator                                    1/1     1            1           26d
vcluster-infrastructure-system      cluster-api-provider-vcluster-controller-manager   1/1     1            1           9d
wiz                                 wizconnector-agent                                 1/1     1            1           26d
