NAMESPACE                           NAME                                                 HOLDER                                                                                                 AGE
aso-system                          controllers-leader-election-azinfra-generated        azureserviceoperator-controller-manager-6c94669977-vsq9g_f4fd1c75-1af5-4f5d-abaa-b147f1f140d8          29d
capi-kubeadm-bootstrap-system       kubeadm-bootstrap-manager-leader-election-capi       capi-kubeadm-bootstrap-controller-manager-667d996d96-8ggbl_9c9f7580-8277-4650-bdb6-b50b17bdda72        12d
capi-kubeadm-control-plane-system   kubeadm-control-plane-manager-leader-election-capi   capi-kubeadm-control-plane-controller-manager-6fd8cd4fdb-f7699_5ecb470f-3fc9-41e7-b1b9-dd49fa68df07    12d
capi-operator                       controller-leader-election-capi-operator             capiop-cluster-api-operator-7f5fcb5ddc-v8fr5_04bd7ddb-2d45-4cec-b341-fe2c8aba2f81                      29d
capi-system                         controller-leader-election-capi                      capi-controller-manager-7c48879656-qbgkh_f1e817e9-4bc6-4896-8131-1e611973d039                          12d
istio-system                        istio-gateway-deployment-default                     istiod-85f99b8f8d-trx45                                                                                29d
istio-system                        istio-gateway-status-leader-default                  istiod-85f99b8f8d-trx45                                                                                29d
kube-node-lease                     aks-default-49089664-vmss000002                      aks-default-49089664-vmss000002                                                                        28d
kube-system                         aks-managed-resource-locker                                                                                                                                 29d
kube-system                         apiserver-gugzs7abl3gjg6de2x6amq7zni                 apiserver-gugzs7abl3gjg6de2x6amq7zni_9e0a5d6a-4061-40b9-a2fe-f6df73a9e873                              2d19h
kube-system                         apiserver-jwdc3bktz6atf4vlbp3e3w3c2e                 apiserver-jwdc3bktz6atf4vlbp3e3w3c2e_ecf4c9e4-49db-4f49-ac39-a8cb7ee3660d                              2d19h
kube-system                         apiserver-lpmtpar6al3fwxo7hblb7hh4he                 apiserver-lpmtpar6al3fwxo7hblb7hh4he_03ac6b4a-57e0-4161-9df8-5ca6b7d0ef34                              2d19h
kube-system                         apiserver-nzt35neozclee2pshpdqkelw4u                 apiserver-nzt35neozclee2pshpdqkelw4u_66d74cb8-7d30-413a-890e-1ffed3cea54c                              2d19h
kube-system                         apiserver-ub5gdy5qi2qotmqemidmeeaonu                 apiserver-ub5gdy5qi2qotmqemidmeeaonu_08db4ede-2914-4dc6-a258-94ad44580fbb                              2d19h
kube-system                         apiserver-z3dbewxlimsvxeec7i2hjk6vbm                 apiserver-z3dbewxlimsvxeec7i2hjk6vbm_b3fe23c1-d71e-425a-bdb3-185db331fcae                              2d19h
kube-system                         cert-manager-cainjector-leader-election              cert-manager-cainjector-79c8f65547-n5jdt_9f2f53b6-8c58-4088-87fe-948258285148                          29d
kube-system                         cert-manager-controller                              cert-manager-6bc9546cf5-9m2qt-external-cert-manager-controller                                         29d
kube-system                         cloud-controller-manager                             cloud-controller-manager-6859cb5b84-4xnqg_3dedbfab-3612-4fca-b3a3-a8653277a750                         29d
kube-system                         disk-csi-azure-com                                   1765555172015-243-disk-csi-azure-com                                                                   29d
kube-system                         external-attacher-leader-disk-csi-azure-com          csi-azuredisk-controller-66ffb74c8-64bk6                                                               29d
kube-system                         external-resizer-disk-csi-azure-com                  csi-azuredisk-controller-66ffb74c8-64bk6                                                               29d
kube-system                         external-resizer-file-csi-azure-com                  csi-azurefile-controller-5d6ddd8ffc-8876c                                                              29d
kube-system                         external-snapshotter-leader-disk-csi-azure-com       csi-azuredisk-controller-66ffb74c8-nq5jm                                                               29d
kube-system                         external-snapshotter-leader-file-csi-azure-com       csi-azurefile-controller-5d6ddd8ffc-8876c                                                              29d
kube-system                         file-csi-azure-com                                   1765501042530-5671-file-csi-azure-com                                                                  29d
kube-system                         kube-controller-manager                              kube-controller-manager-v2-64dc9b844c-9bmfn_d9f1b36d-054f-4715-8662-47c3724f5cfc                       29d
kube-system                         kube-scheduler                                       kube-scheduler-v2-696f7cb788-pwqx6_0c4508bc-2a4f-4138-b365-3dba4c541299                                29d
kube-system                         kubelet-serving-csr-approver                         kubelet-serving-csr-approver-74dd47f569-pc2jx_be539bab-2143-4359-b785-33f79af8d082                     29d
kube-system                         snapshot-controller-leader                           csi-snapshot-controller-6c7fb97cbf-4g4s2                                                               29d
kyverno                             kyverno                                              kyverno-admission-controller-695d98496f-b4wcl                                                          29d
kyverno                             kyverno-background-controller                        kyverno-background-controller-6c999f9b69-fpjhl                                                         29d
kyverno                             kyverno-cleanup-controller                           kyverno-cleanup-controller-876cc98bb-vp4gr                                                             29d
kyverno                             kyverno-health                                                                                                                                              29d
kyverno                             kyverno-reports-controller                           kyverno-reports-controller-846fb9dfbd-2m9wh                                                            29d
kyverno                             kyvernopre                                           kyverno-admission-controller-695d98496f-b4wcl                                                          29d
kyverno                             kyvernopre-lock                                                                                                                                             29d
opentelemetry                       9f7554c3.opentelemetry.io                            opentelemetry-operator-55ffdcdcff-8gghk_d2315dd5-2017-4203-b097-eb861b04228d                           29d
tigera-operator                     operator-lock                                        aks-default-49089664-vmss000002_b14eda78-13fb-4001-b65a-5f72693059b9                                   29d
vcluster-infrastructure-system      4012c7fa.cluster.x-k8s.io                            cluster-api-provider-vcluster-controller-manager-d57dbf8f-8zbxx_a8155612-4cc6-4866-be94-0976c218da41   12d
